Stop Code,Stop Name,Latitude,Longitude,Current Cleaning Category,abc_stop_name
6485,Hardee St at Mimosa St (SB),36.001443,-78.86678,C,Hardee St at Mimosa St (SB)
6486,Hardee St at Landon St (SB),35.99989,-78.86543,B,Hardee St at Landon St (SB)
6487,Hardee St at Delano St (SB),35.99703,-78.86459,B,Hardee St at Delano St (SB)
6488,Raynor St at Hardee St (WB),35.995858,-78.865224,C,Raynor St at Hardee St (WB)
6489,Raynor St at The Village (EB),35.994215,-78.869617,A,Raynor St at The Village (EB)
6490,Holloway St at Elizabeth St (WB),35.994603,-78.890416,A,Holloway St at Elizabeth St (WB)
6491,E Main St at Alston Ave (EB),35.9879864,-78.8888992,A,E Main St at Stokes St (EB)
6492,North Pointe Dr at Red Roof Inn (WB),36.030419,-78.923025,C,North Pointe Dr at Red Roof Inn (WB)
6494,Blackwell St at Forest Hills Apts (NB),35.988819,-78.906473,A,Blackwell St at Forest Hills Apts (NB)
6495,Martin Luther King Jr Pkwy at Bay Point Dr,35.942215,-78.918796,B,Martin Luther King Jr Pkwy at Bay Point
6498,Milton Rd at Long Cresent Dr,36.091955,-78.914271,C,Milton Rd at Long Cresent Dr
6499,Trent Dr at Erwin Rd (Clipp Research Bldg),36.006822,-78.934392,C,Trent Dr at Erwin Rd (Clipp Research Bl
6501,Martin Luther King Jr Pkwy at Fayetteville Rd (WB),35.939848,-78.907677,C,Martin Luther King Jr Pkwy at Fayettevi
6503,E Main St at Hood St (Durham Police Dept),35.99054,-78.89314,C,E Main St at Hood St (Durham Police Dep
6505,E Main St at Elizabeth St,35.99062,-78.89283,A,E Main St at Elizabeth St
6506,E Main St at Queen St (WB),35.993207,-78.897352,A,E Main St at Queen St (WB)
6507,E Geer St at Faucette Ave (WB),36.01191,-78.86577,C,E Geer St at Faucette Ave (WB)
6510,Dillard St at Liberty St,35.99351,-78.89445,,
6520,Miami Blvd at Ellis Rd (SB),35.942017,-78.838841,C,Miami Blvd at Ellis Rd (SB)
6521,Roxboro St at Pacific Ave (SB),36.046205,-78.902859,B,Roxboro St at Pacific Ave (SB)
6523,Carver St at Danube Ln (EB),36.045234,-78.889708,C,Carver St at Danube Ln (EB)
6527,Dowd St at Mangum St,36.000319,-78.8959,A,Dowd St at Mangum St
6530,Junction Rd at Ross Rd,35.992522,-78.856781,C,Junction Rd at Ross Rd
6531,Pettigrew St at Roxboro St (WB),35.992954,-78.899523,C,Pettigrew St at Roxboro St (WB)
6532,TW Alexander Dr at Roche Dr (Implus),35.918901,-78.823652,C,TW Alexander Dr at Roche Dr (Implus)
6536,Ben Franklin Blvd at Medical Park Dr (Voyager Academy),36.047566,-78.893889,C,Ben Franklin Blvd at Medical Park Dr (V
6538,W Enterprise St at E Forest Hills Blvd (ATT),35.983673,-78.909319,C,W Enterprise St at E Forest Hills Blvd
6545,Morreene Rd at Campus Walk Ave (NB),36.008762,-78.954635,C,Morreene Rd at Campus Walk Ave (NB)
6546,American Dr at Hillgrand Dr (WB),36.015459,-78.962606,C,American Dr at Hillgrand Dr (WB)
6548,Morreene Rd at American Dr (SB),36.0132165,-78.9566645,B,Morreene Rd at American Dr (SB)
6549,Morreene Rd at Campus Walk Ave (SB),36.009157,-78.954751,B,Morreene Rd at Campus Walk Ave (SB)
6550,Morreene Rd at Sherwood Dr (SB),36.006584,-78.954799,B,Morreene Rd at Sherwood Dr (SB)
6551,Morreene Rd at Glasson St (SB),36.005412,-78.954752,A,Morreene Rd at Glasson St (SB)
6552,Morreene Rd at Erwin Rd,36.003969,-78.953303,B,Morreene Rd at Erwin Rd
6558,Morreene Rd at Tremont Dr (SB),36.018111,-78.957885,B,Morreene Rd at Tremont Dr (SB)
6565,Angier Ave at Vine St (EB),35.983261,-78.88106,C,Angier Ave at Vine St (EB)
6573,Hardee St at Cheek Rd (NB),36.004669,-78.86686,C,Hardee St at Cheek Rd (NB)
6575,Angier Ave at Bingham St (EB),35.979445,-78.872427,C,Angier Ave at Bingham St (EB)
6576,Fayetteville St at Riddle Rd (SB),35.950458,-78.904077,B,Fayetteville St at Riddle Rd (SB)
6577,NC 751 at Southpoint Autopark Dr,35.908967,-78.960339,C,NC 751 at Southpoint Autopark Dr
6578,NC 751 at NC 54 (Hope Valley Commons Park-and-Ride),35.9174793,-78.9612918,B,NC 751 at NC 54 (Hope Valley Commons Pa
6579,NC 54 at Garrett Rd (EB),35.91935,-78.95822,A,NC 54 at Garrett Rd (EB)
6590,Martin Luther King Jr Pkwy at Cook Rd (WB),35.9465,-78.922034,B,Martin Luther King Jr Pkwy at Cook Rd (
6591,S Roxboro St at Shoppes at Hope Valley,35.949189,-78.922821,A,S Roxboro St at Shoppes at Hope Valley
6592,Martin Luther King Jr Pkwy at Cook Rd (EB),35.947241,-78.923393,B,Martin Luther King Jr Pkwy at Cook Rd (
6593,S Roxboro St at Chestnut St (SB),35.985602,-78.902793,C,S Roxboro St at Chestnut St (SB)
6597,Lawson St at Alston Ave (WB),35.9756791,-78.8946205,B,Lawson Ave at NCCU Track (WB)
6598,Lawson Ave at Fayetteville St,35.976496,-78.9003,B,Lawson Ave at Fayetteville St
6599,Lawson St at Concord St (WB),35.976459,-78.903385,B,Lawson St at Concord St (WB)
6600,S Roxboro Rd at Dillard St,35.99144,-78.89997,C,Roxboro Rd at Dillard St
6601,New Castle Rd at Stadium Dr (WB),36.050542,-78.920135,C,New Castle Rd at Stadium Dr (WB)
6602,New Castle Rd at Foxfire Apartments (NB),36.050141,-78.923237,C,New Castle Rd at Foxfire Apartments (NB
6603,New Castle Rd at Wyldewood Rd (NB),36.051549,-78.923454,C,New Castle Rd at Wyldewood Rd (NB)
6604,Stadium Dr at Wyldewood Rd (NB),36.053475,-78.919532,C,Stadium Dr at Wyldewood Rd (NB)
6605,Horton Rd at Delbert Ave (WB),36.057551,-78.924872,C,Horton Rd at Delbert Ave (WB)
6606,Guess Rd at Horton Rd (Cross Creek Shopping Center),36.058349,-78.92896,C,Guess Rd at Horton Rd (Cross Creek Shop
6607,Rose of Sharon at Riverside High School,36.062281,-78.94431,A,Rose of Sharon at Riverside High School
